# MNE-Annotations
# orig_time : 2021-01-01 10:14:48
# onset, duration, description
1444.835,0.0,photic_stimulation/5
1444.935,0.0,photic_stimulation/5
1445.035,0.0,photic_stimulation/5
1445.14,0.0,photic_stimulation/5
1445.235,0.0,photic_stimulation/5
1445.335,0.0,photic_stimulation/5
1445.435,0.0,photic_stimulation/5
1445.535,0.0,photic_stimulation/5
1445.64,0.0,photic_stimulation/5
1445.735,0.0,photic_stimulation/5
1445.84,0.0,photic_stimulation/5
1445.94,0.0,photic_stimulation/5
1446.04,0.0,photic_stimulation/5
1446.14,0.0,photic_stimulation/5
1446.24,0.0,photic_stimulation/5
1446.34,0.0,photic_stimulation/5
1446.44,0.0,photic_stimulation/5
1446.54,0.0,photic_stimulation/5
1446.64,0.0,photic_stimulation/5
1451.73,0.0,photic_stimulation/5
1451.795,0.0,photic_stimulation/5
1451.86,0.0,photic_stimulation/5
1451.93,0.0,photic_stimulation/5
1451.995,0.0,photic_stimulation/5
1452.06,0.0,photic_stimulation/5
1452.13,0.0,photic_stimulation/5
1452.195,0.0,photic_stimulation/5
1452.26,0.0,photic_stimulation/5
1452.33,0.0,photic_stimulation/5
1452.395,0.0,photic_stimulation/5
1452.46,0.0,photic_stimulation/5
1452.53,0.0,photic_stimulation/5
1452.595,0.0,photic_stimulation/5
1452.66,0.0,photic_stimulation/5
1452.73,0.0,photic_stimulation/5
1452.795,0.0,photic_stimulation/5
1452.86,0.0,photic_stimulation/5
1452.93,0.0,photic_stimulation/5
1452.995,0.0,photic_stimulation/5
1453.06,0.0,photic_stimulation/5
1453.13,0.0,photic_stimulation/5
1453.195,0.0,photic_stimulation/5
1453.265,0.0,photic_stimulation/5
1453.33,0.0,photic_stimulation/5
1453.395,0.0,photic_stimulation/5
1453.46,0.0,photic_stimulation/5
1453.53,0.0,photic_stimulation/5
1453.595,0.0,photic_stimulation/5
1453.66,0.0,photic_stimulation/5
1453.73,0.0,photic_stimulation/5
1453.795,0.0,photic_stimulation/5
1453.86,0.0,photic_stimulation/5
1453.93,0.0,photic_stimulation/5
1453.995,0.0,photic_stimulation/5
1454.065,0.0,photic_stimulation/5
1454.13,0.0,photic_stimulation/5
1454.195,0.0,photic_stimulation/5
